iata_code,name,latitude_deg,longitude_deg,municipality,country_name
FCA,Glacier Park International Airport,48.310501,-114.255997,Kalispell,United States
GPT,Gulfport Biloxi International Airport,30.405582,-89.069836,Gulfport,United States
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,47.21110153,-93.50980377,Grand Rapids,United States
GQQ,Galion Municipal Airport,40.7533989,-82.72380066,Galion,United States
GRB,Austin Straubel International Airport,44.483459,-88.130805,Green Bay,United States
GRD,Greenwood County Airport,34.248699,-82.159103,Greenwood,United States
GRE,Greenville Airport,38.836844,-89.376525,Greenville,United States
GRF,Gray Army Air Field,47.07920074,-122.5810013,Fort Lewis/Tacoma,United States
GRI,Central Nebraska Regional Airport,40.967498779296875,-98.30960083,Grand Island,United States
GRK,Killeen Regional Airport / Robert Gray Army Airfield,31.0672,-97.828903,Fort Cavazos,United States
GRN,Gordon Municipal Airport,42.80599976,-102.1750031,Gordon,United States
GRR,Gerald R. Ford International Airport,42.880798,-85.522797,Grand Rapids,United States
GSB,Seymour Johnson Air Force Base,35.339401,-77.960602,Goldsboro,United States
GSH,Goshen Municipal Airport,41.526401519800004,-85.79290009,Goshen,United States
GSO,Piedmont Triad International Airport,36.09937,-79.937262,Greensboro,United States
GSP,Greenville-Spartanburg International Airport,34.895699,-82.218903,Greenville/Greer/Spartanburg,United States
GTF,Great Falls International Airport,47.481998,-111.371002,Great Falls,United States
GTG,Grantsburg Municipal Airport,45.79809952,-92.66439819,Grantsburg,United States
GTR,Golden Triangle Regional Airport,33.450298,-88.5914,Columbus/W Point/Starkville,United States
GUC,Gunnison Crested Butte Regional Airport,38.534672,-106.934566,Gunnison,United States
GUP,Gallup Municipal Airport,35.511653,-108.788166,Gallup,United States
GUS,Grissom Air Reserve Base,40.648102,-86.1521,Peru,United States
GUY,Guymon Municipal Airport,36.68510056,-101.5080032,Guymon,United States
GVE,Gordonsville Municipal Airport,38.155998,-78.165802,Gordonsville,United States
GVL,Lee Gilmer Memorial Airport,34.27259827,-83.8302002,Gainesville,United States
GVT,Majors Airport,33.06779861,-96.06529999,Greenville,United States
GWO,Greenwood–Leflore Airport,33.495025,-90.088204,Greenwood,United States
GWS,Glenwood Springs Municipal Airport,39.50830078,-107.310997,Glenwood Springs,United States
KGX,Grayling Airport,62.895187,-160.066289,Grayling,United States
GXY,Greeley–Weld County Airport,40.43740082,-104.6330032,Greeley,United States
GDC,Donaldson Field Airport,34.758301,-82.376404,Greenville,United States
PNX,North Texas Regional Airport Perrin Field,33.7141,-96.673698,Denison,United States
GYR,Phoenix Goodyear Airport,33.42250061,-112.3759995,Goodyear,United States
GYY,Gary Chicago International Airport,41.617087,-87.413206,Gary,United States
KGZ,Glacier Creek Airport,61.45510101,-142.3809967,Glacier Creek,United States
DSY,Dara Sakor International Airport,10.914244,103.226652,Ta Noun,Cambodia
KTI,Techo International Airport,11.359987,104.921272,Phnom Penh (Boeng Khyang),Cambodia
HAB,Marion County Rankin Fite Airport,34.11759949,-87.99819946,Hamilton,United States
HAF,Half Moon Bay Airport,37.513401031499995,-122.5009995,Half Moon Bay,United States
HAI,Three Rivers Municipal Dr Haines Airport,41.959801,-85.593399,Three Rivers,United States
HAO,Butler Co Regional Airport - Hogan Field,39.363800048799995,-84.52200317,Hamilton,United States
HBG,Hattiesburg Bobby L Chain Municipal Airport,31.26479912,-89.25279999,Hattiesburg,United States
HBR,Hobart Regional Airport,34.991317,-99.051313,Hobart,United States
HDE,Brewster Field,40.452099,-99.336502,Holdrege,United States
HDN,Yampa Valley Airport,40.481201,-107.218002,Hayden,United States
HEE,Thompson-Robbins Airport,34.576571,-90.67616,West Helena,United States
MNZ,Manassas Regional Airport/Harry P. Davis Field,38.721401,-77.515404,Manassas,United States
HEZ,Natchez–Adams County Airport / Hardy-Anders Field,31.614817,-91.297331,Natchez,United States
HFD,Hartford Brainard Airport,41.73669815,-72.6493988,Hartford,United States
HFF,Mackall Army Air Field,35.036087,-79.498615,Hoffman,United States
HGR,Hagerstown Regional Richard A Henson Field,39.708771,-77.728014,Hagerstown,United States
HHR,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,Hawthorne,United States
HUJ,Stan Stamper Municipal Airport,34.03480148,-95.54190063,Hugo,United States
HIB,Range Regional Airport,47.384831,-92.836905,Hibbing,United States
HIE,Mount Washington Regional Airport,44.36752,-71.545765,Whitefield,United States
HIF,Hill Air Force Base,41.12403,-111.973086,Ogden,United States
HII,Lake Havasu City Airport,34.570506,-114.357745,Lake Havasu City,United States
HIO,Portland Hillsboro Airport,45.540401,-122.949997,Portland,United States
HKA,Blytheville Municipal Airport,35.940399169900004,-89.83080292,Blytheville,United States
HKS,Hawkins Field,32.33449936,-90.22219849,Jackson,United States
HKY,Hickory Regional Airport,35.74110031,-81.38950348,Hickory,United States
HLB,Batesville Airport,39.342861,-85.258441,Batesville,United States
HLC,Hill City Municipal Airport,39.37879944,-99.83149719,Hill City,United States
HLG,Wheeling Ohio County Airport,40.17499924,-80.64630127,Wheeling,United States
HLN,Helena Regional Airport,46.6068,-111.983002,Helena,United States
HMN,Holloman Air Force Base,32.852501,-106.107002,Alamogordo,United States
HMT,Hemet Ryan Airport,33.73400116,-117.0230026,Hemet,United States
HNB,Huntingburg Airport,38.24900055,-86.9536972,Huntingburg,United States
HSH,Henderson Executive Airport,35.97280121,-115.1340027,Las Vegas,United States
HOB,Lea County Regional Airport,32.6875,-103.217003,Hobbs,United States
HON,Huron Regional Airport,44.385201,-98.2285,Huron,United States
HOP,Campbell Army Airfield (Fort Campbell),36.674154,-87.48974,Fort Campbell,United States
HOT,Memorial Field Airport,34.4788,-93.096262,Hot Springs,United States
HOU,William P. Hobby Airport,29.645336,-95.276812,Houston,United States
HPN,Westchester County Airport,41.06700134277344,-73.70760345,White Plains,United States
HPT,Hampton Municipal Airport,42.72370148,-93.2263031,Hampton,United States
HPY,Baytown Airport,29.786100387599998,-94.95269775,Baytown,United States
HQM,Bowerman Airport,46.971199035599994,-123.9369965,Hoquiam,United States
HES,Hermiston Municipal Airport,45.828223,-119.259024,Hermiston,United States
HRL,Valley International Airport,26.228500366210938,-97.65440369,Harlingen,United States
HRO,Boone County Airport,36.26150131225586,-93.15470123,Harrison,United States
HSB,Harrisburg-Raleigh Airport,37.811298,-88.550301,Harrisburg,United States
HNC,Billy Mitchell Airport,35.23279953,-75.61779785,Hatteras,United States
THP,Hot Springs County Airport,43.713602,-108.389687,Thermopolis,United States
HSI,Hastings Municipal Airport,40.6053009,-98.42790222,Hastings,United States
HSP,Ingalls Field,37.95140076,-79.83390045,Hot Springs,United States
HST,Homestead Air Reserve Base,25.4886,-80.383598,Homestead,United States
HSV,Huntsville International Airport,34.636244,-86.774378,Huntsville,United States
HTH,Hawthorne Industrial Airport,38.544399,-118.634002,Hawthorne,United States
HTL,Roscommon County - Blodgett Memorial Airport,44.359798,-84.671095,Houghton Lake,United States
